479,67,119,15,2,28,24,52
1426,43,119,15,2,52,24,76
356,86,119,16,2,2,31,33
651,42,119,16,2,44,33,77
256,33,119,16,2,52,34,86
1165,91,119,16,2,1,27,28
798,53,119,14,2,51,15,66
1130,108,127,2,10,1,18,19
1244,125,136,1,0,1,10,11
1422,86,136,14,0,18,32,50
220,51,136,16,0,34,51,85
847,82,136,15,0,16,38,54
1184,91,136,14,0,13,32,45
623,72,136,15,0,24,40,64
429,58,136,14,0,46,32,78
160,52,136,15,0,43,41,84
1005,43,136,15,0,53,40,93
1220,42,136,16,0,43,51,94
846,50,136,16,0,37,49,86
807,59,136,15,0,38,39,77
336,80,136,15,0,15,41,56
42,52,136,16,0,34,50,84
883,110,136,1,0,14,12,26
455,68,138,7,0,2,68,70
1072,95,138,2,0,22,21,43
365,116,138,2,0,2,20,22
138,67,138,4,0,18,53,71
523,47,138,7,0,24,67,91
1058,123,138,2,0,1,14,15
386,67,138,3,0,35,36,71
882,41,138,7,0,29,68,97
1350,53,138,5,0,26,59,85
1469,109,142,2,18,1,32,33
1239,107,151,1,2,36,8,44
904,126,151,0,2,10,15,25
1444,130,151,0,2,6,15,21
891,121,151,0,2,15,15,30
675,113,151,0,2,23,15,38
63,115,151,0,2,21,15,36
449,119,151,0,2,19,13,32
532,125,151,0,2,12,14,26
731,137,151,0,2,1,13,14
702,113,151,0,2,24,14,38
719,155,158,1,2,1,2,3
758,127,158,0,2,11,20,31
1363,84,163,14,2,49,30,79
1282,67,163,9,2,58,38,96
346,76,163,6,2,78,9,87
1246,123,163,15,2,1,39,40
666,93,163,18,2,10,60,70
174,87,163,13,2,54,22,76
1082,124,163,14,2,8,31,39
555,120,163,15,2,1,42,43
230,58,163,13,2,83,22,105
784,106,163,8,2,27,30,57
35,105,163,9,2,20,38,58
130,104,163,9,2,22,37,59
533,130,163,8,2,2,31,33
181,73,163,13,2,69,21,90
1420,116,163,9,2,12,35,47
780,132,171,2,1,31,8,39
447,82,177,12,2,71,24,95
285,132,177,11,2,31,14,45
