1,847,3,4
0,851,0,2
3,853,0,0
2,854,0,0
1,858,7,3
5,860,0,0
0,861,1,18
4,861,13,4
2,862,2,1
3,864,2,1
0,868,1,19
1,868,10,2
4,869,15,3
3,869,2,0
2,871,2,0
5,872,2,5
4,877,16,1
0,879,2,20
3,881,0,0
2,882,2,0
1,886,19,1
3,888,2,8
5,891,10,7
0,892,11,2
2,893,2,4
3,897,0,0
2,903,1,5
4,903,2,0
5,903,11,6
3,904,1,9
5,908,12,4
0,910,18,1
2,911,0,0
3,915,2,10
4,916,2,4
1,917,0,0
5,917,16,3
2,921,2,5
5,924,18,2
1,929,2,7
3,929,9,1
2,929,2,0
2,933,2,2
0,935,2,0
5,935,19,1
4,937,10,6
2,939,1,2
3,943,0,0
0,945,1,1
4,945,11,3
1,946,10,3
2,948,2,0
3,949,1,12
0,950,1,0
0,957,2,3
1,960,14,2
3,960,2,12
2,962,0,0
4,964,0,0
5,964,0,0
0,966,7,5
1,966,15,1
2,968,2,9
5,974,2,1
4,975,2,7
2,977,3,2
3,977,1,0
0,979,10,4
3,984,0,0
0,985,11,3
5,987,2,0
4,988,2,1
2,989,4,1
1,991,1,0
3,996,1,6
5,997,1,2
0,998,13,2
1,1001,3,2
2,1001,0,0
4,1003,2,1
3,1005,2,6
0,1007,17,1
5,1008,0,0
2,1011,2,8
4,1013,2,2
3,1014,2,3
5,1016,2,2
1,1020,18,1
2,1023,0,0
3,1026,3,3
2,1029,2,12
3,1033,4,2
4,1033,11,5
5,1034,10,2
0,1036,0,0
2,1042,9,1
1,1044,0,0
3,1044,5,1
4,1044,16,4
0,1047,1,10
4,1051,17,3
5,1051,19,1
1,1053,2,0
0,1054,2,12
3,1058,2,0
4,1060,18,2
0,1061,3,6
2,1061,2,0
1,1062,2,7
3,1067,0,0
0,1068,5,5
1,1069,1,7
2,1072,1,0
3,1072,1,11
5,1072,2,0
1,1077,0,0
3,1079,2,11
0,1080,9,4
2,1080,2,0
1,1085,1,7
2,1086,1,3
4,1087,0,0
1,1091,2,9
3,1091,2,0
0,1092,11,3
2,1094,0,1
5,1094,10,2
4,1100,2,1
3,1101,1,2
5,1101,11,1
2,1102,1,3
1,1103,4,5
0,1104,15,2
0,1110,17,1
3,1110,2,0
1,1114,7,4
2,1114,2,3
5,1115,2,0
3,1122,1,6
4,1122,11,2
1,1128,17,3
2,1128,7,1
5,1129,0,0
3,1131,0,0
4,1133,18,1
1,1134,18,2
5,1136,1,7
0,1138,0,0
3,1138,1,2
5,1145,2,10
1,1146,19,1
2,1146,2,0
0,1147,0,5
3,1150,2,2
0,1153,1,9
2,1155,2,2
3,1155,3,4
0,1159,2,11
2,1162,1,2
4,1164,0,0
3,1165,5,3
5,1167,11,9
2,1167,1,0
0,1170,2,8
1,1170,0,0
3,1171,7,2
4,1171,1,6
5,1174,13,8
0,1175,3,8
4,1176,2,7
1,1178,2,10
3,1178,8,1
2,1179,2,0
1,1184,3,2
2,1185,2,2
5,1185,15,6
0,1186,9,7
2,1190,1,2
3,1192,0,0
5,1196,17,5
0,1198,10,6
1,1199,13,1
2,1200,2,0
3,1205,2,8
4,1205,19,2
5,1206,18,3
0,1210,15,5
3,1210,2,0
5,1211,19,1
2,1212,8,1
1,1217,2,0
0,1223,17,3
2,1225,2,0
3,1225,9,1
1,1226,4,7
4,1230,2,0
2,1231,2,5
0,1232,19,2
1,1236,7,6
2,1241,1,5
5,1241,0,0
1,1243,10,5
3,1245,0,0
5,1246,1,9
4,1248,11,5
3,1252,1,2
5,1253,2,10
2,1254,2,0
0,1256,0,0
4,1257,13,4
1,1258,16,4
3,1260,2,3
2,1261,5,5
1,1264,18,3
0,1265,1,6
4,1266,14,2
1,1269,19,2
3,1269,7,1
2,1272,7,4
4,1274,15,1
5,1274,10,6
0,1275,2,7
3,1281,2,0
2,1284,9,2
0,1285,4,4
5,1286,11,5
3,1290,2,7
1,1292,2,0
4,1293,0,0
5,1296,16,4
1,1298,2,0
0,1299,8,3
3,1299,1,7
2,1303,0,0
4,1303,1,9
3,1306,0,1
4,1307,1,11
0,1309,11,2
1,1311,4,7
2,1313,2,6
3,1313,2,1
4,1318,1,11
3,1318,2,0
0,1324,15,1
2,1324,4,3
4,1324,2,12
3,1325,2,4
1,1327,10,6
5,1328,1,0
3,1330,1,4
1,1334,13,4
2,1338,8,2
4,1338,2,5
5,1342,11,2
3,1343,0,0
1,1345,14,3
0,1348,0,0
4,1348,2,7
5,1353,15,1
2,1354,2,0
3,1354,1,8
1,1358,19,2
0,1359,1,1
4,1359,2,7
3,1360,2,11
2,1363,2,4
0,1365,2,2
3,1369,3,11
5,1373,1,0
2,1374,2,7
4,1375,2,9
2,1380,1,7
3,1381,4,10
1,1384,0,0
5,1384,0,0
0,1387,16,2
3,1387,5,8
2,1389,0,2
0,1394,17,1
4,1394,11,10
5,1394,2,1
1,1396,2,5
2,1396,2,0
3,1399,7,6
4,1399,12,9
1,1403,5,5
2,1403,2,3
3,1405,8,3
4,1409,15,8
1,1413,6,4
2,1414,1,5
3,1414,9,2
5,1416,12,2
0,1419,0,0
2,1420,0,1
1,1421,8,2
4,1422,18,7
5,1427,15,1
0,1428,2,7
